 line_num | count | container_number | order_number | lot | item_code |                         product_description                          | qty  | pkgs | pack_type_code |  cbm  |   kgs    | invoice_number 
----------+-------+------------------+--------------+-----+-----------+----------------------------------------------------------------------+------+------+----------------+-------+----------+----------------
        1 |     1 | CAAU6980806      | 5170072      | 2   | A439-L    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size L     |  850 |   34 | CTN            | 1.540 |  543.800 | 830B
        2 |     1 | CAAU6980806      | 5170072      | 2   | A439-M    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size M     |  850 |   34 | CTN            | 1.540 |  543.800 | 830B
        3 |     1 | CAAU6980806      | 5170072      | 2   | A439-S    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size S     |  100 |    4 | CTN            | 0.180 |   88.000 | 830B
        4 |     1 | CAAU6980806      | 5170072      | 2   | A439-XL   | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XL    |  325 |   13 | CTN            | 0.500 |  286.000 | 830B
        5 |     1 | CAAU6980806      | 5170072      | 2   | A439-XS   | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XS    |  100 |    4 | CTN            | 0.180 |   88.000 | 830B
        6 |     1 | CAAU6980806      | 5170072      | 2   | A439-XXL  | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XXL   |  100 |    4 | CTN            | 0.180 |   93.000 | 830B
        7 |     1 | CAAU6980806      | 5170072      | 1   | A928-L    | Whites Nevada Chefs Jacket White with Black Contrast - Size L        |  120 |    3 | CTN            | 0.210 |   66.000 | 830B
        8 |     1 | CAAU6980806      | 5170072      | 1   | B131      | Whites Short Bistro Apron Black - 750x373mm 29.5x14.7"               |  180 |    1 | CTN            | 0.070 |   20.000 | 830B
        9 |     1 | CAAU6980806      | 5170072      | 1   | B133      | Whites Bistro Apron Black - 1000x700mm 39.4x27.5"                    |  400 |    5 | CTN            | 0.470 |  100.000 | 830B
       10 |     1 | CAAU6980806      | 5170072      | 1   | B250-M    | Whites Boston Short Sleeved White Jacket - Size M                    | 1050 |   42 | CTN            | 1.900 | 1008.000 | 830B
       11 |     1 | CAAU6980806      | 5170072      | 1   | B250-S    | Whites Boston Short Sleeved White Jacket - Size S                    |  850 |   34 | CTN            | 1.540 |  935.000 | 830B
       12 |     1 | CAAU6980806      | 5170072      | 1   | B250-XL   | Whites Boston Short Sleeved White Jacket - Size XL                   |  975 |   39 | CTN            | 1.770 | 1072.500 | 830B
       13 |     1 | CAAU6980806      | 5170072      | 1   | B250-XS   | Whites Boston Short Sleeved White Jacket - Size XS                   |  250 |   10 | CTN            | 0.450 |  305.000 | 830B
       14 |     1 | CAAU6980806      | 5170072      | 1   | B252      | Whites Comfy Hat White - One Size                                    |  300 |    1 | CTN            | 0.070 |   30.500 | 830B
       15 |     1 | CAAU6980806      | 5170072      | 1   | B255      | Whites Peaked Hat - White                                            |  300 |    1 | CTN            | 0.070 |   15.000 | 830B
       16 |     1 | CAAU6980806      | 5170072      | 1   | B311-XL   | Whites Vegas Small Blue & White Check Trousers Polycotton - Size XL  |  100 |    4 | CTN            | 0.180 |  102.000 | 830B
       17 |     1 | CAAU6980806      | 5170072      | 1   | B311-XXL  | Whites Vegas Small Blue & White Check Trousers Polycotton - Size XXL |  100 |    4 | CTN            | 0.180 |  114.000 | 830B
       18 |     1 | CAAU6980806      | 5170072      | 1   | B390      | Whites Nevada Chefs Bandana Black                                    |  300 |    1 | CTN            | 0.070 |   20.000 | 830B
       19 |     1 | CAAU6980806      | 5170072      | 1   | B426      | Whites Bib Apron Polycotton Charcoal                                 |  200 |    2 | CTN            | 0.140 |   30.800 | 830B
       20 |     1 | CAAU6980806      | 5170072      | 1   | B998-XL   | Southside Chefs Jacket - Size XL                                     |   75 |    3 | CTN            | 0.140 |   22.500 | 830B
